"REF_DATE","GEO","DGUID","Gender","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1976/1977","Yukon","2016A000260","Men+","Persons","249","units","0","v470773","12.2","234","","","","0"
"1976/1977","Yukon","2016A000260","Women+","Persons","249","units","0","v470774","12.3","215","","","","0"
"1976/1977","Northwest Territories including Nunavut","","Total - gender","Persons","249","units","0","v470775","13.1","1185","","","t","0"
"1976/1977","Northwest Territories including Nunavut","","Men+","Persons","249","units","0","v470776","13.2","585","","","t","0"
"1976/1977","Northwest Territories including Nunavut","","Women+","Persons","249","units","0","v470777","13.3","600","","","t","0"
"1977/1978","Canada","2016A000011124","Total - gender","Persons","249","units","0","v470763","1.1","359793","","","","0"
"1977/1978","Canada","2016A000011124","Men+","Persons","249","units","0","v470764","1.2","184812","","","","0"
"1977/1978","Canada","2016A000011124","Women+","Persons","249","units","0","v470765","1.3","174981","","","","0"
"1977/1978","Newfoundland and Labrador","2016A000210","Total - gender","Persons","249","units","0","v470784","2.1","10912","","","","0"
"1977/1978","Newfoundland and Labrador","2016A000210","Men+","Persons","249","units","0","v470785","2.2","5586","","","","0"
"1977/1978","Newfoundland and Labrador","2016A000210","Women+","Persons","249","units","0","v470786","2.3","5326","","","","0"
"1977/1978","Prince Edward Island","2016A000211","Total - gender","Persons","249","units","0","v470787","3.1","1915","","","","0"
"1977/1978","Prince Edward Island","2016A000211","Men+","Persons","249","units","0","v470788","3.2","1006","","","","0"
"1977/1978","Prince Edward Island","2016A000211","Women+","Persons","249","units","0","v470789","3.3","909","","","","0"
"1977/1978","Nova Scotia","2016A000212","Total - gender","Persons","249","units","0","v470790","4.1","12345","","","","0"
"1977/1978","Nova Scotia","2016A000212","Men+","Persons","249","units","0","v470791","4.2","6286","","","","0"
"1977/1978","Nova Scotia","2016A000212","Women+","Persons","249","units","0","v470792","4.3","6059","","","","0"
"1977/1978","New Brunswick","2016A000213","Total - gender","Persons","249","units","0","v470793","5.1","11082","","","","0"
"1977/1978","New Brunswick","2016A000213","Men+","Persons","249","units","0","v470794","5.2","5633","","","","0"
"1977/1978","New Brunswick","2016A000213","Women+","Persons","249","units","0","v470795","5.3","5449","","","","0"
"1977/1978","Quebec","2016A000224","Total - gender","Persons","249","units","0","v470796","6.1","95474","","","","0"
"1977/1978","Quebec","2016A000224","Men+","Persons","249","units","0","v470797","6.2","49220","","","","0"
"1977/1978","Quebec","2016A000224","Women+","Persons","249","units","0","v470798","6.3","46254","","","","0"
"1977/1978","Ontario","2016A000235","Total - gender","Persons","249","units","0","v470799","7.1","121839","","","","0"
"1977/1978","Ontario","2016A000235","Men+","Persons","249","units","0","v470800","7.2","62345","","","","0"
"1977/1978","Ontario","2016A000235","Women+","Persons","249","units","0","v470801","7.3","59494","","","","0"
"1977/1978","Manitoba","2016A000246","Total - gender","Persons","249","units","0","v470802","8.1","16708","","","","0"
"1977/1978","Manitoba","2016A000246","Men+","Persons","249","units","0","v470803","8.2","8538","","","","0"
"1977/1978","Manitoba","2016A000246","Women+","Persons","249","units","0","v470804","8.3","8170","","","","0"
"1977/1978","Saskatchewan","2016A000247","Total - gender","Persons","249","units","0","v470805","9.1","16463","","","","0"
"1977/1978","Saskatchewan","2016A000247","Men+","Persons","249","units","0","v470806","9.2","8471","","","","0"
